Year,Player_Name,Matches_Batted,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Balls_Faced,Batting_Strike_Rate,Centuries,Half_Centuries,Fours,Sixes,Catches_Taken,Stumpings,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Best_Bowling_Match,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Four_Wicket_Hauls,Five_Wicket_Hauls,Batting_Impact,Bowling_Impact,Total_Impact,Player_Role
2020.0,T Natarajan,16.0,3.0,3.0,3*,0.0,5.0,60.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,377.0,504.0,16.0,2/24,31.5,8.02,23.56,0.0,0.0,1.6,5.19,6.790000000000001,Bowler
2017.0,T Natarajan,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,76.0,115.0,2.0,1/26,57.5,9.07,38.0,0.0,0.0,0.0,1.9649999999999999,1.9649999999999999,Unknown
2024.0,Tim David,13.0,3.0,241.0,45*,30.13,152.0,158.55,0.0,0.0,14.0,15.0,6.0,0.0,13.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.4104,7.0,13.4104,All-rounder
2023.0,Tim David,16.0,6.0,231.0,45*,25.67,146.0,158.22,0.0,0.0,12.0,15.0,10.0,0.0,16.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0536,7.0,13.0536,All-rounder
2022.0,Tim David,8.0,3.0,186.0,46,37.2,86.0,216.28,0.0,0.0,12.0,16.0,6.0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.976000000000001,7.0,13.976,All-rounder
2021.0,Tim David,1.0,0.0,1.0,1,1.0,3.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2024.0,Travis Head,15.0,1.0,567.0,102,40.5,296.0,191.55,1.0,4.0,64.0,32.0,0.0,0.0,15.0,10.0,32.0,0.0,0/32,0.0,19.2,0.0,0.0,0.0,8.040000000000001,4.0,12.040000000000001,Batsman
2017.0,Travis Head,7.0,2.0,151.0,75*,30.2,108.0,139.81,0.0,1.0,9.0,6.0,2.0,0.0,7.0,48.0,81.0,2.0,2/30,40.5,10.12,24.0,0.0,0.0,6.429980952380953,1.3685714285714288,7.798552380952382,Batsman
2016.0,Travis Head,3.0,1.0,54.0,37,27.0,40.0,135.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown
2024.0,Trent Boult,15.0,3.0,14.0,12,7.0,16.0,87.5,0.0,0.0,2.0,0.0,4.0,0.0,16.0,320.0,443.0,16.0,3/22,27.69,8.31,20.0,0.0,0.0,2.8933333333333335,5.8069999999999995,8.700333333333333,Bowler
2023.0,Trent Boult,10.0,3.0,16.0,15,16.0,14.0,114.29,0.0,0.0,1.0,1.0,5.0,0.0,10.0,228.0,312.0,13.0,3/29,24.0,8.21,17.54,0.0,0.0,4.327733333333334,7.045,11.372733333333333,Bowler
2022.0,Trent Boult,16.0,6.0,40.0,17*,20.0,29.0,137.93,0.0,0.0,2.0,1.0,2.0,0.0,16.0,372.0,492.0,16.0,2/18,30.75,7.94,23.25,0.0,0.0,5.278133333333334,5.38,10.658133333333334,All-rounder
2021.0,Trent Boult,14.0,4.0,1.0,1*,0.0,4.0,25.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,308.0,406.0,13.0,3/28,31.23,7.9,23.69,0.0,0.0,0.6666666666666666,5.196857142857143,5.86352380952381,Bowler
